Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B3_6_2A_novel_RA,2024-07-14 09:35:17,,/Volumes/My_Passport/RR_NEO/1_7/B2_B3/cut/B3_6_2A_novel.mov,672.300,30.0,blue,Zone of Interest,,,STATE,140.867,141.567,0.700,,
B2_5_A_control_RA,2024-07-12 12:18:41,,/Volumes/My_Passport/RR_NEO/30_6/B2_B3/cut/B2_5_A_control.mov,750.730,30.0,blue,Zone of Interest,,,STATE,144.533,177.500,32.967,,
B5_3_BG_BY_control_RA,2024-07-14 12:04:03,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B5_3_BG_BY_control.mov,661.080,25.0,No focal subject,Zone of Interest,,,STATE,145.360,406.720,261.360,,
B7_8_B_control_RA,2024-07-20 09:43:19,,/Volumes/My_Passport/RR_NEO/17_7/cut/B7_8_B_control.mov,661.930,30.0,blue,Zone of Interest,,,STATE,155.633,231.567,75.934,,
B4_3_A_control_RA,2024-07-14 10:18:53,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B4_3_A_control.mov,641.480,25.0,red,Zone of Interest,,,STATE,157.160,174.040,16.880,,
B6_8_BP_GP_novel_RA,2024-07-18 09:23:25,,/Volumes/My_Passport/RR_NEO/17_7/cut/B6_8_BP_GP_novel.mov,713.570,30.0,No focal subject,Zone of Interest,,,STATE,158.700,173.567,14.867,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,red,Zone of Interest,,,STATE,159.700,211.333,51.633,,
B2_6_GY_PR_control_RA,2024-07-14 09:10:41,,/Volumes/My_Passport/RR_NEO/1_7/B2_B3/cut/B2_6_GY_PR_control.mov,688.370,30.0,No focal subject,Zone of Interest,,,STATE,162.700,222.767,60.067,,
B2_6_GY_BY_control_RA,2024-07-14 08:58:41,,/Volumes/My_Passport/RR_NEO/1_7/B2_B3/cut/B2_6_GY_PR_control.mov,688.370,30.0,No focal subject,Zone of Interest,,,STATE,162.733,222.567,59.834,,
B7_2_B_novel_RA,2024-07-14 15:15:28,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B7_2_B_novel.mov,692.380,24.0,blue,Zone of Interest,,,STATE,163.333,197.250,33.917,,
B7_4_B_control_RA,2024-07-16 09:15:46,,/Volumes/My_Passport/RR_NEO/13_7/cut/B7_4_B_control.mov,679.870,30.0,black,Zone of Interest,,,STATE,167.200,196.500,29.300,,
B6_7_A_novel_RA,2024-07-16 11:20:08,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_A_novel.mov,681.680,25.0,black,Zone of Interest,,,STATE,170.360,311.760,141.400,,
B6_8_GG_BG_novel_RA,2024-07-18 09:34:21,,/Volumes/My_Passport/RR_NEO/17_7/cut/B6_8_GG_BG_novel.mov,678.730,30.0,No focal subject,Zone of Interest,,,STATE,173.400,223.000,49.600,,
B6_2_BP_RY_control_RA,2024-07-14 13:54:37,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B6_2_BP_RY_control.mov,694.880,24.0,No focal subject,Zone of Interest,,,STATE,176.500,327.583,151.083,,
B4_3_A_control_RA,2024-07-14 10:18:53,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B4_3_A_control.mov,641.480,25.0,red,Zone of Interest,,,STATE,178.520,355.720,177.200,,
B6_8_GG_BG_novel_RA,2024-07-18 09:34:21,,/Volumes/My_Passport/RR_NEO/17_7/cut/B6_8_GG_BG_novel.mov,678.730,30.0,No focal subject,Eating,,,POINT,178.733,178.733,NA,,
B6_7_B_novel_RA,2024-07-17 08:39:26,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_B_novel.mov,713.800,25.0,blue,Zone of Interest,,,STATE,188.960,504.680,315.720,,
B2_5_A_control_RA,2024-07-12 12:18:41,,/Volumes/My_Passport/RR_NEO/30_6/B2_B3/cut/B2_5_A_control.mov,750.730,30.0,redblue,Zone of Interest,,,STATE,193.067,195.300,2.233,,
B2_5_A_control_RA,2024-07-12 12:18:41,,/Volumes/My_Passport/RR_NEO/30_6/B2_B3/cut/B2_5_A_control.mov,750.730,30.0,blue,Zone of Interest,,,STATE,195.100,292.433,97.333,,
B4_3_B_control_RA,2024-07-14 11:24:14,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B4_3_B_control.mov,641.720,25.0,redblue,Zone of Interest,,,STATE,202.480,232.960,30.480,,
B4_3_B_control_RA,2024-07-14 11:24:14,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B4_3_B_control.mov,641.720,25.0,red,Zone of Interest,,,STATE,202.840,216.640,13.800,,
B6_2_GR_GR_control_RA,2024-07-14 14:36:58,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B6_2_GR_GR_control.mov,779.040,24.0,No focal subject,Zone of Interest,,,STATE,204.000,528.083,324.083,,
B2_6_BR_PP_control_RA,2024-07-14 08:47:45,,/Volumes/My_Passport/RR_NEO/1_7/B2_B3/cut/B2_6_BR_PP_control.mov,743.670,30.0,No focal subject,Zone of Interest,,,STATE,207.233,436.533,229.300,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,blue,Zone of Interest,,,STATE,216.267,294.000,77.733,,
B6_7_A_novel_RA,2024-07-16 11:20:08,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_A_novel.mov,681.680,25.0,redblue,Zone of Interest,,,STATE,221.680,296.760,75.080,,
B6_2_GY_BG_control_RA,2024-07-14 14:44:43,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B6_2_GY_BG_control.mov,677.040,24.0,No focal subject,Zone of Interest,,,STATE,225.083,365.542,140.459,,
B4_3_B_control_RA,2024-07-14 11:24:14,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B4_3_B_control.mov,641.720,25.0,black,Zone of Interest,,,STATE,237.560,247.840,10.280,,
B6_7_B_novel_RA,2024-07-17 08:39:26,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_B_novel.mov,713.800,25.0,redblue,Zone of Interest,,,STATE,240.920,330.800,89.880,,
B6_2_BY_PY_control_RA,2024-07-14 14:14:55,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B6_2_BY_PY_control.mov,673.380,24.0,No focal subject,Zone of Interest,,,STATE,244.083,248.125,4.042,,
B6_7_B_novel_RA,2024-07-17 08:39:26,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_B_novel.mov,713.800,25.0,red,Zone of Interest,,,STATE,245.960,247.200,1.240,,
B7_2_B_novel_RA,2024-07-14 15:15:28,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B7_2_B_novel.mov,692.380,24.0,red,Zone of Interest,,,STATE,249.292,280.667,31.375,,
B6_2_BY_PY_control_RA,2024-07-14 14:14:55,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B6_2_BY_PY_control.mov,673.380,24.0,No focal subject,Zone of Interest,,,STATE,249.792,320.167,70.375,,
B6_7_B_novel_RA,2024-07-17 08:39:26,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_B_novel.mov,713.800,25.0,red,Zone of Interest,,,STATE,252.160,273.640,21.480,,
B6_7_B_novel_RA,2024-07-17 08:39:26,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_B_novel.mov,713.800,25.0,red,Eating,,,POINT,256.480,256.480,NA,,
B6_7_A_novel_RA,2024-07-16 11:20:08,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_A_novel.mov,681.680,25.0,red,Zone of Interest,,,STATE,283.720,287.040,3.320,,
