Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B3_1_PY_BP_control_SK,2024-07-12 14:12:08,,/Volumes/T7/26_06/EXTRA_DAY/B3_1_PY_BY_control.mov,673.470,30.0,No focal subject,Zone of Interest,,,STATE,35.533,237.400,201.867,,
B8_6_PY_BR_novel_SK,2024-07-18 14:28:02,,/Volumes/Extreme SSD/NEO_Gull 2024/18_7/B8_B9/cut/B8_6_PY_BR_novel.mp4,648.530,30.0,No focal subject,Eating,,,POINT,35.700,35.700,NA,,
B2_4_YY_PP_novel_SK,2024-07-12 14:49:33,,/Volumes/T7/29_06/B2_B3/cut/B2_4_YY_PP_novel.mp4,707.780,30.0,No focal subject,Test arena entry,,,POINT,35.767,35.767,NA,,
B5_2_A_control_SK,2024-07-12 17:12:42,,/Volumes/T7/30_6/cut/B5_2_A_control.mov,710.170,30.0,blue,Zone of Interest,,,STATE,35.767,157.733,121.966,,
B6_1_A_control_SK,2024-07-10 14:56:15,,/Volumes/T7/10_7/cut/B6_1_A_control.mp4,654.930,30.0,black,Zone of Interest,,,STATE,35.900,54.233,18.333,,
B7_1_BY_RR_control_SK,2024-07-10 14:59:14,,/Volumes/T7/10_7/cut/B7_1_BY_RR_control.mp4,653.270,30.0,No focal subject,Eating,,,POINT,35.900,35.900,NA,,
B8_2_BB_BB_novel_SK,2024-07-14 13:23:42,,/Volumes/T7/14_7/cut/B8_2_BB_BB_novel.mp4,796.420,30.0,No focal subject,Eating,,,POINT,35.900,35.900,NA,,
B4_1_A_novel_SK,2024-07-12 14:50:32,,/Volumes/T7/29_06/B4_B5/cut/B4_1_A_novel.mp4,747.970,25.0,red,Zone of Interest,,,STATE,35.920,68.880,32.960,,
B2_8_YY_PP_novel_SK,2024-07-13 08:51:33,,/Volumes/T7/3_7/cut/B2_8_YY_PP_novel.mov,683.570,30.0,No focal subject,Trial start,,,POINT,35.967,35.967,NA,,
B5_6_B_control_SK,2024-07-11 11:04:12,,/Volumes/T7/4_7/cut/B5_6_B_control.mp4,684.890,25.0,redblue,Zone of Interest,,,STATE,36.120,39.520,3.400,,
