Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,redblue,Zone of Interest,,,STATE,483.920,519.520,35.600,,
B3_4_A_control_SB,2024-08-01 15:10:59.932,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B3_4_A_control.mp4,685.030,30.0,blue,Zone of Interest,,,STATE,493.897,611.997,118.100,,
B6_1_B_control_SB,2024-08-02 11:21:45.698,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_1_B_control (1).mp4,657.864,30.0,redblack,Zone of Interest,,,STATE,500.730,536.030,35.300,,
B7_1_BP_GG_control_SB,2024-08-02 12:31:09.690,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_1_BP_GG_control (1).mp4,650.630,30.0,No focal subject,Zone of Interest,,,STATE,513.230,561.997,48.767,,
B9_7_PP_GP_control_SB,2024-08-02 11:37:55.907,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B9_7_PP_GP_control.mp4,663.663,30.0,No focal subject,Zone of Interest,,,STATE,513.497,535.030,21.533,,
B2_7_A_novel_SB,2024-08-01 13:39:14.835,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B2_7_A_novel.mov,921.367,30.0,blue,Zone of Interest,,,STATE,526.133,547.933,21.800,,
B4_8_GY_PP_control_SB,2024-08-01 18:04:34.713,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_8_GY_PP_control (1).mp4,802.080,25.0,No focal subject,Zone of Interest,,,STATE,532.400,608.120,75.720,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,blue,Zone of Interest,,,STATE,551.720,576.200,24.480,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,redblue,Zone of Interest,,,STATE,577.520,618.200,40.680,,
B2_7_A_novel_SB,2024-08-01 13:39:14.835,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B2_7_A_novel.mov,921.367,30.0,blue,Zone of Interest,,,STATE,578.833,677.433,98.600,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,blue,Zone of Interest,,,STATE,579.400,591.480,12.080,,
B7_3_BG_RR_novel_SB,2024-08-02 14:29:09.949,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_3_BG_RR_novel (1).mov,711.100,30.0,No focal subject,Zone of Interest,,,STATE,585.099,609.999,24.900,,
